timestamp,x_robot_mm,y_robot_mm,z_robot_mm,angle_deg,pixel_size,area
1772615259.1527364,56.7,283.19,200.0,0.0,53.0,2032
1772615299.8694587,60.12,338.83,200.0,68.2,36.2,893
1772621220.507803,270.25,238.87,200.0,1.17,65.1,3827
1772621576.7725213,369.82,253.64,200.0,3.18,85.1,6374
1772621681.0038629,373.17,223.52,200.0,4.09,32.9,911
1772621745.005493,443.33,298.41,200.0,3.72,126.7,11137
1772621822.216299,380.25,105.15,200.0,65.22,96.9,3273
1772622264.8694227,213.58,184.08,20.0,5.19,50.8,2156
1772622292.8027208,228.95,195.1,20.0,88.21,48.0,1872
1772623843.6402907,138.34,235.48,20.0,71.57,50.9,1612
1772623925.9612527,116.87,210.99,20.0,71.57,47.8,1794
1772623995.8289986,451.08,335.99,20.0,5.39,74.8,3583
1772624039.2742023,279.8,215.53,20.0,3.58,36.6,1148
1772624130.4222043,275.39,228.84,20.0,81.25,50.9,2165
1772624337.482919,276.64,207.9,20.0,0.0,43.0,1542
1772627869.7671294,246.4,226.35,20.0,85.6,48.3,1916
1772627877.6302965,219.42,229.03,20.0,87.71,45.0,1749
1772627882.8974197,226.88,228.09,20.0,6.84,48.9,1970
1772627981.9712598,277.42,240.79,20.0,85.6,46.5,1653
1772628019.9632819,258.99,216.81,20.0,77.91,42.4,1434
1772628019.9632819,259.0,216.8,20.0,77.9,42.4,1434
1772629345.2380397,49.65,281.87,20.0,45.0,147.1,19301
1772629385.4586537,49.58,281.91,20.0,45.66,146.8,19248
1772629503.9002938,296.63,240.34,20.0,69.44,87.8,6939
1772629551.568724,297.53,231.99,20.0,73.78,89.8,6559
1772629569.964761,286.22,235.88,20.0,76.87,91.2,6766
1772629581.6861775,285.33,249.16,20.0,73.5,91.4,6490
1772629919.7128792,127.63,121.81,20.0,15.02,59.6,1138
1772629996.1500826,245.31,309.35,20.0,10.01,125.1,14850
1772630148.6398518,24.13,361.19,20.0,2.66,128.5,15212
1772630155.1555362,6.41,399.72,20.0,2.73,128.7,15225
1772630635.9686325,370.42,22.5,20.0,0.0,181.0,9193
1772630679.1954002,292.59,161.86,20.0,2.12,163.9,25620
1772630941.0240657,212.66,279.55,20.0,3.37,124.2,14858
1772630966.221396,212.43,280.19,20.0,3.01,125.5,15181
1772636222.9100485,245.25,180.58,20.0,9.11,107.9,11579
1772637316.707825,339.88,190.44,20.0,83.29,171.2,28609
1772637324.4290202,371.17,249.67,20.0,75.47,28.1,764
