timestamp,x_robot_mm,y_robot_mm,z_robot_mm,angle_deg,pixel_size,area
1772013297.7960505,625.55,-24.61,518.7,83.83,142.2,17810
1772013297.8370385,625.55,-24.6,518.7,83.83,142.2,17820
1772013297.8775477,625.55,-24.6,518.7,83.83,142.2,17820
1772013297.919167,625.56,-24.6,518.7,83.83,142.2,17822
1772013297.9511333,625.56,-24.6,518.7,83.83,142.2,17831
1772013297.986468,625.56,-24.6,518.7,83.83,142.2,17817
1772013298.0193996,625.56,-24.6,518.63,83.99,142.2,17829
1772013298.0500417,625.56,-24.6,518.7,83.83,142.2,17834
1772013298.081104,625.56,-24.6,518.7,83.83,142.2,17834
1772013298.1088378,625.52,-24.57,519.04,83.99,142.4,17809
1772013298.1385043,625.53,-24.61,519.0,83.66,142.3,17813
1772013298.1792004,625.53,-24.64,519.0,83.66,142.3,17813
1772013300.9285424,591.86,-40.85,721.41,0.0,509.0,110279
1772013300.9658587,592.8,-39.28,722.93,0.0,519.0,113082
1772013301.004173,593.59,-37.76,724.24,0.0,528.0,115370
1772013301.0424995,594.51,-35.13,727.93,0.0,555.0,116413
1772013301.079583,594.87,-34.86,726.87,0.0,547.0,96334
1772013301.12128,594.86,-35.86,724.24,0.0,528.0,45982
1772013301.5480366,639.32,-87.48,524.59,21.25,145.2,19075
1772013301.5918818,640.0,-86.23,525.45,20.85,145.7,19096
1772013301.629853,640.36,-85.6,525.46,20.77,145.7,19086
1772013301.668203,640.42,-85.39,525.01,21.04,145.5,19071
1772013301.7002149,640.22,-85.46,524.39,20.92,145.1,18961
1772013301.7346406,639.71,-85.52,524.45,20.92,145.2,18930
1772013301.7708788,639.06,-85.73,524.45,20.92,145.2,18939
1772013301.805006,638.35,-86.08,524.33,21.04,145.1,18914
1772013301.842834,637.58,-86.5,524.19,21.04,145.0,18901
1772013301.879017,636.78,-86.92,524.2,21.25,145.0,18881
1772013301.9140165,635.97,-87.37,524.2,21.25,145.0,18926
1772013301.9518776,635.21,-87.89,523.96,21.16,144.9,18914
1772013301.9925609,634.41,-88.19,524.39,20.92,145.1,18912
1772013302.0343046,633.72,-88.6,524.39,20.92,145.1,18928
1772013302.071856,633.08,-88.99,524.42,20.77,145.2,18912
1772013302.1138697,632.55,-89.42,524.19,21.04,145.0,18910
1772013302.1531115,632.05,-89.75,524.19,21.04,145.0,18910
1772013302.1912901,631.76,-90.44,522.96,21.37,144.4,18843
1772013302.223725,631.34,-90.54,523.41,21.25,144.6,18840
1772013302.2583091,631.04,-90.76,523.41,21.25,144.6,18840
1772013302.2967598,630.79,-90.95,523.41,21.25,144.6,18829
1772013302.3303165,630.67,-91.33,522.75,21.61,144.3,18841
1772013302.3663774,630.52,-91.49,522.68,21.66,144.2,18843
1772013302.399379,630.4,-91.57,522.75,21.61,144.3,18842
1772013302.4325888,630.31,-91.66,522.75,21.61,144.3,18836
1772013302.4667768,630.21,-91.61,523.12,21.61,144.5,18840
1772013302.5234718,630.22,-91.75,522.83,21.57,144.3,18826
1772013302.5593894,630.16,-91.66,523.21,21.57,144.5,18840
1772013302.5963893,630.16,-91.69,523.21,21.57,144.5,18832
1772013302.6382768,630.21,-91.81,522.83,21.57,144.3,18835
1772013302.6754835,630.23,-91.81,522.83,21.57,144.3,18836
1772013302.7165933,630.25,-91.79,522.88,21.37,144.3,18833
1772013302.7658405,630.24,-91.67,523.21,21.57,144.5,18839
1772013302.7942953,630.27,-91.66,523.21,21.57,144.5,18858
1772013302.8242974,630.24,-91.45,523.8,21.25,144.8,18866
1772013302.8515,630.33,-91.63,523.21,21.57,144.5,18862
1772013302.882281,630.36,-91.61,523.21,21.57,144.5,18853
1772013302.911731,630.39,-91.6,523.21,21.57,144.5,18859
1772013302.9403503,630.42,-91.58,523.21,21.57,144.5,18858
1772013302.9678195,630.45,-91.59,523.12,21.5,144.5,18851
1772013302.9979885,630.46,-91.52,523.27,21.37,144.5,18841
1772013303.0321524,630.49,-91.53,523.21,21.57,144.5,18837
1772013303.0633938,630.55,-91.62,522.87,21.57,144.3,18843
1772013303.094625,630.56,-91.6,522.87,21.57,144.3,18825
1772013303.1265843,630.51,-91.41,523.41,21.25,144.6,18826
1772013303.156937,630.57,-91.55,522.96,21.57,144.4,18829
1772013303.1918359,630.6,-91.6,522.8,21.37,144.3,18869
1772013303.2189481,630.52,-91.35,523.51,21.04,144.7,18908
1772013303.2500455,630.51,-91.35,523.51,21.04,144.7,18904
1772013303.2817342,630.49,-91.26,523.78,21.04,144.8,18913
1772013303.3108625,630.48,-91.26,523.78,21.04,144.8,18905
1772013303.3463347,630.48,-91.26,523.78,21.04,144.8,18921
1772013303.3765297,630.48,-91.26,523.78,21.04,144.8,18906
1772013303.4097476,630.47,-91.26,523.78,21.04,144.8,18929
1772013303.4391177,630.53,-91.42,523.28,21.16,144.5,18927
1772013303.4691787,630.53,-91.4,523.37,21.04,144.6,18923
1772013303.5017142,630.5,-91.33,523.56,21.16,144.7,18922
1772013303.5367382,630.53,-91.43,523.28,21.16,144.5,18897
1772013303.57145,630.57,-91.56,522.88,21.37,144.3,18896
1772013303.5999064,630.57,-91.56,522.88,21.37,144.3,18876
1772013303.6319675,630.54,-91.48,523.11,21.25,144.5,18888
1772013303.662657,630.56,-91.56,522.88,21.37,144.3,18871
1772013303.6958854,630.49,-91.35,523.51,21.04,144.7,18882
1772013303.7279067,630.49,-91.34,523.51,21.04,144.7,18907
1772013303.7636504,630.49,-91.33,523.56,21.16,144.7,18907
1772013303.793234,630.53,-91.43,523.28,21.16,144.5,18915
1772013303.8223937,630.53,-91.43,523.28,21.16,144.5,18927
1772013303.8620696,630.5,-91.34,523.56,21.16,144.7,18927
1772013303.8904898,630.54,-91.44,523.28,21.16,144.5,18918
1772013303.922743,630.52,-91.36,523.51,21.04,144.7,18943
1772013303.954462,630.47,-91.27,523.78,21.04,144.8,18928
1772013303.9870496,630.49,-91.34,523.56,21.16,144.7,18929
1772013304.0290534,630.48,-91.36,523.51,21.16,144.7,18902
1772013304.0650995,630.41,-91.16,524.1,20.85,145.0,18913
1772013304.110154,630.44,-91.25,523.84,20.85,144.8,18924
1772013304.135024,630.51,-91.44,523.28,21.16,144.5,18932
1772013304.165177,630.52,-91.44,523.28,21.16,144.5,18932
1772013304.197685,630.57,-91.55,522.91,21.25,144.4,18758
1772013304.2258987,630.59,-91.55,522.91,21.25,144.4,18801
1772013304.2522852,630.56,-91.43,523.23,21.04,144.5,18788
1772013304.283336,630.56,-91.4,523.31,21.25,144.6,18773
1772013304.3126519,630.6,-91.51,522.98,21.54,144.4,18752
1772013304.3402658,630.56,-91.36,523.39,21.16,144.6,18755
1772013304.3676264,630.6,-91.47,523.05,21.45,144.4,18754
1772013304.396221,630.6,-91.47,523.05,21.45,144.4,18681
1772013304.4297345,630.55,-91.32,523.51,21.16,144.7,18760
1772013304.4625173,630.5,-91.18,523.92,21.04,144.9,18778
1772013304.495338,630.5,-91.18,523.92,21.04,144.9,18761
1772013304.527412,630.56,-91.4,523.25,21.45,144.5,18752
1772013304.563015,630.53,-91.35,523.42,21.37,144.6,18786
1772013304.5943022,630.53,-91.44,523.13,21.8,144.5,18757
1772013304.6274772,630.5,-91.43,523.13,21.8,144.5,18770
1772013304.663541,630.51,-91.47,523.07,21.64,144.4,18703
1772013304.6943786,630.43,-91.18,523.92,21.04,144.9,18693
1772013304.7283828,630.48,-91.32,523.5,21.25,144.7,18690
1772013304.7635176,630.5,-91.35,523.44,21.45,144.6,18796
1772013304.795293,630.49,-91.31,523.58,21.37,144.7,18787
1772013304.826406,630.52,-91.39,523.35,21.37,144.6,18777
1772013304.862137,630.56,-91.47,523.12,21.45,144.5,18781
1772013304.894451,630.54,-91.39,523.35,21.37,144.6,18800
1772013304.9264996,630.56,-91.47,523.12,21.45,144.5,18797
1772013304.9636183,630.53,-91.44,523.17,21.5,144.5,18766
1772013305.008657,630.47,-91.35,523.44,21.45,144.6,18768
1772013305.0704453,630.49,-91.45,523.12,21.45,144.5,18753
1772013305.1345835,630.48,-91.36,523.44,21.45,144.6,18785
1772013305.204276,630.46,-91.35,523.44,21.45,144.6,18791
1772013305.281403,630.47,-91.44,523.13,21.8,144.5,18819
1772013305.352076,630.49,-91.55,522.77,21.8,144.3,18852
1772013305.4201198,630.43,-91.42,523.13,21.8,144.5,18871
1772013305.7575047,629.9,-91.59,523.21,21.25,144.5,18814
1772013305.8024914,630.02,-91.49,523.41,21.25,144.6,18863
1772013305.848645,630.12,-91.4,523.56,21.16,144.7,18861
1772013305.8943727,630.23,-91.38,523.58,21.37,144.7,18889
1772013305.9403539,630.31,-91.36,523.59,21.12,144.7,18854
1772013305.984323,630.4,-91.4,523.41,21.25,144.6,18884
